spot,pred
1,3
2,1
3,0
4,3
5,6
6,6
7,0
8,3
9,3
10,6
11,0
12,5
13,5
14,3
15,5
16,3
17,6
18,5
19,3
20,6
21,0
22,6
23,2
24,3
25,4
26,0
27,6
28,6
29,5
30,3
31,2
32,0
33,3
34,5
35,4
36,3
37,3
38,6
39,3
40,5
41,3
42,6
43,3
44,3
45,2
46,3
47,6
48,6
49,1
50,6
51,3
52,4
53,0
54,1
55,3
56,6
57,5
58,0
59,5
60,3
61,3
62,6
63,1
64,0
65,3
66,5
67,2
68,3
69,0
70,6
71,5
72,3
73,0
74,2
75,3
76,0
77,0
78,2
79,3
80,3
81,5
82,4
83,3
84,2
85,5
86,6
87,3
88,0
89,5
90,3
91,5
92,1
93,6
94,5
95,3
96,3
97,0
98,0
99,1
100,4
101,3
102,6
103,3
104,1
105,6
106,6
107,3
108,3
109,1
110,5
111,0
112,3
113,4
114,2
115,2
116,3
117,5
118,2
119,1
120,1
121,0
122,6
123,1
124,2
125,6
126,4
127,5
128,5
129,5
130,3
131,0
132,4
133,5
134,6
135,3
136,0
137,5
138,2
139,0
140,6
141,6
142,5
143,1
144,5
145,3
146,5
147,4
148,5
149,0
150,4
151,0
152,5
153,4
154,1
155,3
156,5
157,3
158,5
159,0
160,3
161,3
162,0
163,0
164,5
165,5
166,3
167,6
168,1
169,6
170,5
171,0
172,3
173,3
174,0
175,0
176,5
177,3
178,6
179,1
180,3
181,3
182,5
183,1
184,0
185,3
186,3
187,1
188,5
189,3
190,3
191,5
192,0
193,3
194,5
195,5
196,6
197,2
198,6
199,5
200,5
201,2
202,3
203,3
204,5
205,3
206,4
207,3
208,0
209,0
210,0
211,6
212,6
213,1
214,6
215,3
216,0
217,6
218,5
219,6
220,5
221,3
222,0
223,3
224,3
225,0
226,2
227,3
228,5
229,5
230,2
231,5
232,3
233,5
234,5
235,5
236,4
237,5
238,6
239,5
240,1
241,0
242,3
243,4
244,5
245,5
246,5
247,3
248,0
249,1
250,5
251,3
252,0
253,5
254,3
255,5
256,3
257,5
258,2
259,2
260,0
261,2
262,0
263,3
264,3
265,3
266,3
267,4
268,0
269,6
270,0
271,5
272,4
273,6
274,3
275,6
276,6
277,5
278,3
279,2
280,3
281,1
282,6
283,1
284,3
285,0
286,3
287,5
288,3
289,6
290,3
291,5
292,2
293,1
294,2
295,3
296,6
297,6
298,6
299,1
300,5
301,3
302,5
303,3
304,0
305,0
306,6
307,3
308,6
309,6
310,1
311,0
312,5
313,3
314,3
315,3
316,0
317,6
318,5
319,5
320,5
321,3
322,3
323,0
324,2
325,0
326,3
327,0
328,5
329,3
330,6
331,3
332,3
333,0
334,6
335,1
336,5
337,0
338,1
339,3
340,6
341,0
342,3
343,4
344,5
345,3
346,6
347,3
348,0
349,3
350,3
351,6
352,3
353,1
354,6
355,6
356,6
357,6
358,3
359,5
360,2
361,2
362,0
363,5
364,2
365,5
366,6
367,6
368,5
369,1
370,0
371,6
372,2
373,0
374,3
375,0
376,6
377,3
378,1
379,3
380,2
381,6
382,6
383,0
384,3
385,3
386,0
387,3
388,3
389,2
390,0
391,5
392,6
393,3
394,2
395,3
396,2
397,0
398,3
399,0
400,4
401,5
402,1
403,0
404,0
405,6
406,3
407,6
408,6
409,3
410,6
411,5
412,5
413,3
414,6
415,3
416,5
417,3
418,0
419,3
420,0
421,5
422,5
423,1
424,6
425,6
426,2
427,1
428,3
429,5
430,2
431,5
432,1
433,6
434,5
435,5
436,4
437,5
438,6
439,1
440,5
441,6
442,3
443,3
444,5
445,5
446,0
447,2
448,0
449,5
450,5
451,0
452,6
453,5
454,6
455,5
456,2
457,3
458,3
459,1
460,0
461,3
462,6
